Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year
Chris Mannix,Yahoo!,"James, LeBron (CLE)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Harden, James (HOU)","Lillard, Damian (POR)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)","Towns, Karl‐Anthony (MIN)","Oladipo, Victor (IND)","Westbrook, Russell (OKC)","Aldridge, LaMarcus (SAS)","George, Paul (OKC)","Gobert, Rudy (UTA)","DeRozan, DeMar (TOR)","Irving, Kyrie (BOS)",2017
Chris Webber,Turner,"Durant, Kevin (GSW)","James, LeBron (CLE)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Towns, Karl‐Anthony (MIN)","Embiid, Joel (PHI)","DeRozan, DeMar (TOR)","Westbrook, Russell (OKC)","Simmons, Ben (PHI)","Aldridge, LaMarcus (SAS)","Jokic, Nikola (DEN)","Mitchell, Donovan (UTA)","Oladipo, Victor (IND)",2017
Clifton Brown,Indianapolis Star,"Durant, Kevin (GSW)","James, LeBron (CLE)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Westbrook, Russell (OKC)","Butler, Jimmy (MIN)","Horford, Al (BOS)","Towns, Karl‐Anthony (MIN)","DeRozan, DeMar (TOR)","Paul, Chris (HOU)",2017
Connor Letourneau,San Francisco Chronicle,"James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Harden, James (HOU)","Aldridge, LaMarcus (SAS)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Westbrook, Russell (OKC)","Butler, Jimmy (MIN)","Simmons, Ben (PHI)","Jokic, Nikola (DEN)","Paul, Chris (HOU)","Curry, Stephen (GSW)",2017
Dave McMenamin,ESPN.com,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Towns, Karl‐Anthony (MIN)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","DeRozan, DeMar (TOR)","Aldridge, LaMarcus (SAS)","Green, Draymond (GSW)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Irving, Kyrie (BOS)",2017
David Aldridge,Turner,"Davis, Anthony (NOP)","James, LeBron (CLE)","Embiid, Joel (PHI)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","DeRozan, DeMar (TOR)","Aldridge, LaMarcus (SAS)","George, Paul (OKC)","Capela, Clint (HOU)","Curry, Stephen (GSW)","Irving, Kyrie (BOS)",2017
Davide Chinellato,La Gazzetta dello Sport,"Durant, Kevin (GSW)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIN)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Curry, Stephen (GSW)","Aldridge, LaMarcus (SAS)","Ariza, Trevor (HOU)","Jokic, Nikola (DEN)","DeRozan, DeMar (TOR)","Irving, Kyrie (BOS)",2017
Dennis Scott,Turner,"Durant, Kevin (GSW)","James, LeBron (CLE)","Davis, Anthony (NOP)","Curry, Stephen (GSW)","Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","DeRozan, DeMar (TOR)","Towns, Karl‐Anthony (MIN)","Green, Draymond (GSW)","Drummond, Andre (DET)","Irving, Kyrie (BOS)","Lillard, Damian (POR)",2017
Diego Cabrera,Periódico Reforma,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Towns, Karl‐Anthony (MIN)","DeRozan, DeMar (TOR)","Westbrook, Russell (OKC)","Porzingis, Kristaps (NYK)","Simmons, Ben (PHI)","Embiid, Joel (PHI)","Irving, Kyrie (BOS)","Paul, Chris (HOU)",2017
Doris Burke,ABC/ESPN,"James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Harden, James (HOU)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Oladipo, Victor (IND)","Butler, Jimmy (MIN)","Simmons, Ben (PHI)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (HOU)",2017
Eddie Sefko,Dallas Morning News,"James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Harden, James (HOU)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)","Towns, Karl‐Anthony (MIN)","Drummond, Andre (DET)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Aldridge, LaMarcus (SAS)","George, Paul (OKC)","Jokic, Nikola (DEN)","Paul, Chris (HOU)","Curry, Stephen (GSW)",2017
Elliott Teaford,Southern California News Group,"James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Harden, James (HOU)","Westbrook, Russell (OKC)","Aldridge, LaMarcus (SAS)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Simmons, Ben (PHI)","Butler, Jimmy (MIN)","Capela, Clint (HOU)","Paul, Chris (HOU)","Oladipo, Victor (IND)",2017
Ernie Johnson,Turner,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Westbrook, Russell (OKC)","Antetokounmpo, Giannis (MIL)","Towns, Karl‐Anthony (MIN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)","Butler, Jimmy (MIN)","Jokic, Nikola (DEN)","Irving, Kyrie (BOS)","DeRozan, DeMar (TOR)",2017
Flavio Tranquillo,Sky Italia,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Simmons, Ben (PHI)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","DeRozan, DeMar (TOR)","Horford, Al (BOS)","Butler, Jimmy (MIN)","Aldridge, LaMarcus (SAS)","Westbrook, Russell (OKC)","Irving, Kyrie (BOS)",2017
Frank Isola,Sirius Radio/New York Daily News,"James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","DeRozan, DeMar (TOR)","Butler, Jimmy (MIN)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Simmons, Ben (PHI)",2017
Gary Washburn,Boston Globe,"James, LeBron (CLE)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Oladipo, Victor (IND)","Aldridge, LaMarcus (SAS)","George, Paul (OKC)","Drummond, Andre (DET)","Curry, Stephen (GSW)","Irving, Kyrie (BOS)",2017
Gina Mizell,Denver Post,"James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Durant, Kevin (GSW)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","DeRozan, DeMar (TOR)","Westbrook, Russell (OKC)","Horford, Al (BOS)","Butler, Jimmy (MIN)","Jokic, Nikola (DEN)","Oladipo, Victor (IND)","Curry, Stephen (GSW)",2017
Greg Anthony,Turner,"Davis, Anthony (NOP)","James, LeBron (CLE)","Embiid, Joel (PHI)","Harden, James (HOU)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)","Durant, Kevin (GSW)","Towns, Karl‐Anthony (MIN)","Irving, Kyrie (BOS)","DeRozan, DeMar (TOR)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIN)","Jokic, Nikola (DEN)","Westbrook, Russell (OKC)","Paul, Chris (HOU)",2017
Greg Logan,Newsday,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Westbrook, Russell (OKC)","Antetokounmpo, Giannis (MIL)","Towns, Karl‐Anthony (MIN)","Embiid, Joel (PHI)","DeRozan, DeMar (TOR)","Curry, Stephen (GSW)","Butler, Jimmy (MIN)","George, Paul (OKC)","Aldridge, LaMarcus (SAS)","Lillard, Damian (POR)","Irving, Kyrie (BOS)",2017
Howard Beck,Bleacher Report,"James, LeBron (CLE)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Curry, Stephen (GSW)","Simmons, Ben (PHI)","Butler, Jimmy (MIN)","Jokic, Nikola (DEN)","DeRozan, DeMar (TOR)","Westbrook, Russell (OKC)",2017
Jackie MacMullan,ESPN.com,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIN)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Curry, Stephen (GSW)","Aldridge, LaMarcus (SAS)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","DeRozan, DeMar (TOR)","Irving, Kyrie (BOS)",2017
Jalen Rose,ABC/ESPN,"Durant, Kevin (GSW)","James, LeBron (CLE)","Davis, Anthony (NOP)","Harden, James (HOU)","Westbrook, Russell (OKC)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","DeRozan, DeMar (TOR)","Curry, Stephen (GSW)","George, Paul (OKC)","Simmons, Ben (PHI)","Towns, Karl‐Anthony (MIN)","Lillard, Damian (POR)","Paul, Chris (HOU)",2017
Jared Greenberg,Turner,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","DeRozan, DeMar (TOR)","Westbrook, Russell (OKC)","George, Paul (OKC)","Butler, Jimmy (MIN)","Gobert, Rudy (UTA)","Curry, Stephen (GSW)","Oladipo, Victor (IND)",2017
Jason Jones,Sacramento Bee,"Durant, Kevin (GSW)","James, LeBron (CLE)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","DeRozan, DeMar (TOR)","George, Paul (OKC)","Simmons, Ben (PHI)","Jokic, Nikola (DEN)","Oladipo, Victor (IND)","Irving, Kyrie (BOS)",2017
Jason Lloyd,The Athletic,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Curry, Stephen (GSW)","Butler, Jimmy (MIN)","George, Paul (OKC)","Towns, Karl‐Anthony (MIN)","Irving, Kyrie (BOS)","DeRozan, DeMar (TOR)",2017
Jason Quick,NBC Sports Northwest,"James, LeBron (CLE)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","DeRozan, DeMar (TOR)","Aldridge, LaMarcus (SAS)","Horford, Al (BOS)","Towns, Karl‐Anthony (MIN)","Butler, Jimmy (MIN)","Irving, Kyrie (BOS)",2017
Jeff McDonald,San Antonio Express‐News,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Westbrook, Russell (OKC)","George, Paul (OKC)","Butler, Jimmy (MIN)","Towns, Karl‐Anthony (MIN)","DeRozan, DeMar (TOR)","Oladipo, Victor (IND)",2017
Jeff Zillgitt,USA Today,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Towns, Karl‐Anthony (MIN)","Irving, Kyrie (BOS)","Curry, Stephen (GSW)","Horford, Al (BOS)","Butler, Jimmy (MIN)","Embiid, Joel (PHI)","DeRozan, DeMar (TOR)","Westbrook, Russell (OKC)",2017
Jerry Zgoda,Minneapolis Star Tribune,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Westbrook, Russell (OKC)","George, Paul (OKC)","Horford, Al (BOS)","Towns, Karl‐Anthony (MIN)","DeRozan, DeMar (TOR)","Paul, Chris (HOU)",2017
Joe Cowley,Chicago Sun‐Times,"James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Harden, James (HOU)","Butler, Jimmy (MIN)","Aldridge, LaMarcus (SAS)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Horford, Al (BOS)","Towns, Karl‐Anthony (MIN)","Jokic, Nikola (DEN)","DeRozan, DeMar (TOR)","Curry, Stephen (GSW)",2017
John Schuhmann,NBA.com,"Durant, Kevin (GSW)","James, LeBron (CLE)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Westbrook, Russell (OKC)","Butler, Jimmy (MIN)","Simmons, Ben (PHI)","Towns, Karl‐Anthony (MIN)","Oladipo, Victor (IND)","Paul, Chris (HOU)",2017
Jon Barry,ESPN Radio,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Westbrook, Russell (OKC)","Simmons, Ben (PHI)","Towns, Karl‐Anthony (MIN)","Jokic, Nikola (DEN)","DeRozan, DeMar (TOR)","Curry, Stephen (GSW)",2017
Justin Termine,Sirius Radio,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Westbrook, Russell (OKC)","Butler, Jimmy (MIN)","Towns, Karl‐Anthony (MIN)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","DeRozan, DeMar (TOR)",2017
KC Johnson,Chicago Tribune,"Durant, Kevin (GSW)","James, LeBron (CLE)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Oladipo, Victor (IND)","Butler, Jimmy (MIN)","Horford, Al (BOS)","Gobert, Rudy (UTA)","DeRozan, DeMar (TOR)","Curry, Stephen (GSW)",2017
Keith Pompey,Philadelphia Inquirer,"James, LeBron (CLE)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Harden, James (HOU)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)","Towns, Karl‐Anthony (MIN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","George, Paul (OKC)","Aldridge, LaMarcus (SAS)","Cousins, DeMarcus (NOP)","Irving, Kyrie (BOS)","DeRozan, DeMar (TOR)",2017
Kevin Arnovitz,ESPN.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (CLE)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Durant, Kevin (GSW)","Butler, Jimmy (MIN)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Curry, Stephen (GSW)","Simmons, Ben (PHI)","Towns, Karl‐Anthony (MIN)","Jokic, Nikola (DEN)","Westbrook, Russell (OKC)","Oladipo, Victor (IND)",2017
Kevin Harlan,Turner,"Durant, Kevin (GSW)","James, LeBron (CLE)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Curry, Stephen (GSW)","Butler, Jimmy (MIN)","Towns, Karl‐Anthony (MIN)","Jokic, Nikola (DEN)","DeRozan, DeMar (TOR)","Irving, Kyrie (BOS)",2017
Kevin O'Connor,The Ringer,"James, LeBron (CLE)","Aldridge, LaMarcus (SAS)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Westbrook, Russell (OKC)","Simmons, Ben (PHI)","Horford, Al (BOS)","Towns, Karl‐Anthony (MIN)","Paul, Chris (HOU)","Curry, Stephen (GSW)",2017
Kevin Pelton,ESPN.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (CLE)","Davis, Anthony (NOP)","Harden, James (HOU)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)","Aldridge, LaMarcus (SAS)","Towns, Karl‐Anthony (MIN)","Lillard, Damian (POR)","Oladipo, Victor (IND)","Butler, Jimmy (MIN)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lowry, Kyle (TOR)",2017
Kristen Ledlow,Turner,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)","Horford, Al (BOS)","Butler, Jimmy (MIN)","Gobert, Rudy (UTA)","Curry, Stephen (GSW)","Paul, Chris (HOU)",2017
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (CLE)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Durant, Kevin (GSW)","Butler, Jimmy (MIN)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Paul, Chris (HOU)","Aldridge, LaMarcus (SAS)","Horford, Al (BOS)","Towns, Karl‐Anthony (MIN)","Curry, Stephen (GSW)","Irving, Kyrie (BOS)",2017
Lee Jenkins,Sports Illustrated,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","DeRozan, DeMar (TOR)","Butler, Jimmy (MIN)","George, Paul (OKC)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Westbrook, Russell (OKC)",2017
